X,Y,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude__y_,Longitude__x_,Code postal,amiante,gislation,gorie
-71.50474,45.015613,0,Agence Des Services Frontaliers Du Canada - East Hereford,,26 Route 253,East Hereford,Québec,J0B 1S0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.015613,-71.50474,J0B 1S0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-74.309622,44.992731,0,Agence Des Services Frontaliers Du Canada - Trout River,,980 Route 138,Elgin,Québec,J0S 2E0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,44.992731,-74.309622,J0S 2E0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-72.8239,45.023297,0,Agence Des Services Frontaliers Du Canada - Frelighsburg,,193 Route 237,Frelighsburg,Québec,J0J 1C0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.023297,-72.8239,J0J 1C0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-64.484155,48.82943,0,Pêches Et Océans Canada,,120 Rue De La Reine,Gaspé,Québec,G4X 2R2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.82943,-64.484155,G4X 2R2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-64.466086,48.823015,0,Service Canada,,96 Montée Sandy Beach,Gaspé,Québec,G4X 2W4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.823015,-64.466086,G4X 2W4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-64.481688,48.830859,0,Édifice Frédérica Giroux,,98 Rue De La Reine,Gaspé,Québec,G4X 3B3,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.830859,-64.481688,G4X 3B3,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.71855,45.437013,0,Bureau De L'Imprimerie Nationale,,45 Boul. Sacré-Coeur,Gatineau,Québec,J8X 1C6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.437013,-75.71855,J8X 1C6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.71855,45.437013,0,Édifice Du Gouvernement Du Canada - Chaufferie De L'Imprimerie,,45 Boul. Sacré-Coeur,Gatineau,Québec,J8X 1C6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.437013,-75.71855,J8X 1C6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.71855,45.437013,0,Bureau De L'Imprimerie Nationale,,45 Boul. Sacré-Coeur,Gatineau,Québec,J8X 1C6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.437013,-75.71855,J8X 1C6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.724647,45.42574,0,Les Terrasses De La Chaudière - Stationnement,,6 Rue Wellington,Gatineau,Québec,J8X 2L3,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.42574,-75.724647,J8X 2L3,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.722782,45.424539,0,Immeuble,,2 Rue Montcalm,Gatineau,Québec,J8X 2L8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.424539,-75.722782,J8X 2L8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.719765,45.425445,0,Commission De La Fonction Publique - 22 Rue Eddy Gatineau Qc,,22 Rue Eddy,Gatineau,Québec,J8X 2V6,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.425445,-75.719765,J8X 2V6,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.712735,45.428569,0,Place Du Portage Phase I,,50 Rue Victoria,Gatineau,Québec,J8X 3X1,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.428569,-75.712735,J8X 3X1,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.719894,45.425038,0,Les Terrasses De La Chaudière - Édifice J. Léger,,25/15 Rue Eddy,Gatineau,Québec,J8X 4B5,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.425038,-75.719894,J8X 4B5,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.714939,45.427632,0,Rosdev De Ville,,105 Rue De L'Hôtel-De-Ville,Gatineau,Québec,J8X 4H7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.427632,-75.714939,J8X 4H7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.732688,45.44139,0,Galeries De Hull,,320 Boul. Saint-Joseph,Gatineau,Québec,J8Y 3Y8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.44139,-75.732688,J8Y 3Y8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.744848,45.435282,0,Centre Bisson,,115 Rue Bisson,Gatineau,Québec,J8Y 5M2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.435282,-75.744848,J8Y 5M2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.757332,45.450756,0,Centre Asticou - Bloc 100,,241 Boul. Cité-Des-Jeunes,Gatineau,Québec,J8Y 6L2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.450756,-75.757332,J8Y 6L2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.728093,45.444271,0,455 Boul De La Carrière Gatineau Qc,,455 Boul. De La Carrière,Gatineau,Québec,J8Y 6V7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.444271,-75.728093,J8Y 6V7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.738265,45.469386,0,Richelieu,,975 Boul. Saint-Joseph,Gatineau,Québec,J8Z 1W8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.469386,-75.738265,J8Z 1W8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.810851,45.442371,0,Musée Canadien De La Nature Centre De Conservation,,1770Chemin Pink,Gatineau,Québec,J9J 3N7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.442371,-75.810851,J9J 3N7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.722513,45.42593,0,Les Terrasses De La Chaudière - Édifice Nord,,10 Rue Wellington,Gatineau,Québec,K1A 0H3,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.42593,-75.722513,K1A 0H3,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.712448,45.427434,0,Place Du Portage Phase Ii,,165 Rue De L'Hôtel-De-Ville,Gatineau,Québec,K1A 0J2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.427434,-75.712448,K1A 0J2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.716356,45.425701,0,Place Du Portage Phase Iv,,140Promenade Du Portage,Gatineau,Québec,K1A 0M3,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.425701,-75.716356,K1A 0M3,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.72068,45.425001,0,Les Terrasses De La Chaudière - Édifice Central,,1Promenade Du Portage,Gatineau,Québec,K1A 0N2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.425001,-75.72068,K1A 0N2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-75.711664,45.425987,0,Place Du Portage Phase Iii,,11 Rue Laurier,Gatineau,Québec,K1A 0S5,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.425987,-75.711664,K1A 0S5,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-64.498349,48.398042,0,Édifice Fédéral,,84 Rue Du Carrefour,Grande-Rivière,Québec,G0C 1V0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.398042,-64.498349,G0C 1V0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.756383,45.003196,0,Covey Hill,,2 Route 203,Havelock,Québec,J0S 2C0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.003196,-73.756383,J0S 2C0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.603113,45.004473,0,Hemmingford,,1 Route 219,Hemmingford,Québec,J0L 1H0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.004473,-73.603113,J0L 1H0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-72.416589,45.008385,0,Highwater,,4 Mansonville Road Route 243,Highwater,Québec,J02 1X0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.008385,-72.416589,J02 1X0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-71.20862,48.413892,0,Édifice Gilles Marceau,,2251 Boul. René-Lévesque,Jonquière,Québec,G7X 6K0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.413892,-71.20862,G7X 6K0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.370841,45.011456,0,Lacolle 223,,154 Route 223,Lacolle,Québec,J0J 1J0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.011456,-73.370841,J0J 1J0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.363886,45.132408,0,Lacolle 221,,300 Route 221,Lacolle,Québec,J0J 1J0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.132408,-73.363886,J0J 1J0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.372954,45.082027,0,Gendarmerie Royale Du Canada,,9 Rue De L'Eglise N.,Lacolle,Québec,J0J 1J0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.082027,-73.372954,J0J 1J0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.706351,45.581081,0,Complexe Place Laval,,3Place Laval,Laval,Québec,H7N 1A2,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.581081,-73.706351,H7N 1A2,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.717237,45.541036,0,Pari Cnrc Laval,,531 Boul. Des Prairies,Laval,Québec,H7V 1B7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.541036,-73.717237,H7V 1B7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-69.420768,48.315928,0,Les Escoumins - Les Escoumins Bâtiment Principal,,35 Rue Otis,Les Escoumins,Québec,G0T 1K0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.315928,-69.420768,G0T 1K0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-69.420768,48.315928,0,Les Escoumins - Les Escoumins Garage,,35 Rue Otis,Les Escoumins,Québec,G0T 1K0,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.315928,-69.420768,G0T 1K0,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-71.17558,46.794523,0,Location,,50 Route Du Président-Kennedy,Lévis,Québec,G6V 6W8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,46.794523,-71.17558,G6V 6W8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-73.513616,45.526122,0,Laboratoire De Protection De La Santé,,1001 Rue Saint-Laurent Ouest,Longueuil,Québec,J4K 1C7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.526122,-73.513616,J4K 1C7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-72.132366,45.275797,0,Galeries Orford,,1700 Rue Sherbrooke,Magog,Québec,J1X 5B4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.275797,-72.132366,J1X 5B4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-67.547855,48.847656,0,Édifice René Tremblay,,150 Boul. Dion,Matane,Québec,G4W 3L7,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.847656,-67.547855,G4W 3L7,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-74.031841,45.675474,0,Aéroport International Mtl-Mirabel,,12300 Rue Services A-4,Mirabel,Québec,J7N 1E8,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,45.675474,-74.031841,J7N 1E8,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
-68.141287,48.627993,0,Institut Maurice-Lamontagne - Bloc A,,850 Route De La Mer,Mont-Joli,Québec,G5H 3Z4,ND,"Inventaire national de l'amiante dans les immeubles fédéraux  
https://www.tpsgc-pwgsc.gc.ca/biens-property/ami-asb/index-fra.html",Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral,48.627993,-68.141287,G5H 3Z4,ND,Partie 2 du Code canadien du travail et le Règlement canadien sur la santé et la sécurité du travail,Services gouv. du fédéral
